,site_id,building_id,primary_use,square_feet,year_built,floor_count
789,7,789,Education,64583,1923.0,1.0
790,7,790,Education,86111,1911.0,8.0
791,7,791,Education,150695,,5.0
792,7,792,Education,333681,1938.0,3.0
793,7,793,Education,150695,1964.0,6.0
794,7,794,Education,731945,1969.0,11.0
795,7,795,Education,387500,1960.0,6.0
796,7,796,Education,226042,1965.0,2.0
797,7,797,Education,764237,1979.0,13.0
798,7,798,Education,409028,1970.0,21.0
799,7,799,Education,527431,1976.0,26.0
800,7,800,Education,64583,1955.0,2.0
801,7,801,Education,484376,1952.0,5.0
802,7,802,Education,290625,1995.0,19.0
803,7,803,Education,182986,1962.0,3.0
